,text,intent
0,"Thank you, goodbye",goodbye
1,Can you turn the volume down?,volume control
2,play games of xyz 64 bit,play games
3,covid cases,covid cases
4,good day,goodbye
5,open website stackoverflow.com,open website
6,goodnight,volume control
7,puzzles and games app,play games
8,joke of the day,tell me joke
9,play on youtube,play on youtube
10,Can you increase the volume?,volume control
11,What are some places near me?,places near me
12,hey there,"greet and hello hi kind of things, general check in"
13,is that song from shakira,play on youtube
14,play games of c,play games
15,what time is it day after tomorrow,asking time
16,daily cases of india,covid cases
17,good morning,goodbye
18,Hello,"greet and hello hi kind of things, general check in"
19,what day is it day after tomorrow,asking date
20,My user is Adam,"greet and hello hi kind of things, general check in"
21,play games of c,play games
22,any farm markets around with local products,places near me
23,i want to dance to the tune of raghu dixit,play on youtube
24,what is trending,tell me news
25,play baseball,play games
26,What are some nearby locations?,places near me
27,tell me what is song is playing now,play on youtube
28,what is the weather tomorrow,asking weather
29,download youtube video of,download youtube video
30,queue up ymca,play on youtube
31,What are your functionalities?,what can you do
32,What can I ask you to do?,what can you do
33,take screenshot,take screenshot
34,What actions can you perform?,what can you do
35,scan my inbox for any new emails from robert,send email
36,i am bored what can i do today with my boyfriend,i am bored
37,what is the weather like now day before tomorrow,asking weather
38,covid cases of india past 48 hours,covid cases
39,Quiet,goodbye
40,click photo of <name>,click photo
41,what is the update on stock market,tell me news
42,I am Bella,"greet and hello hi kind of things, general check in"
43,markets near by,places near me
44,open website github.com,open website
45,can you tell me a joke,tell me joke
46,how cold is it outside,asking weather
47,play pacman game with me,play games
48,hey send email to john,send email
49,places near me,places near me
50,covid cases of india past 24 hours,covid cases
51,what time is it day before tomorrow,asking time
52,lets begin buddy,tell me about
53,when is the third monday of this month,asking time
54,what time is it tomorrow,asking time
55,play games of xyz 32 bit,play games
56,download youtube video of <name>,download youtube video
57,Do you know what time it is?,asking time
58,What tasks can you complete?,what can you do
59,play games of xyz 32 bit,play games
60,play kishore kumar on youtube,play on youtube
61,download the latest folk songs having rating of four star or above and play all without shuffle,play on youtube
62,tell me weather forecast,asking weather
63,decrease the volume,volume control
64,what's good news,tell me news
65,send whatsapp message,send whatsapp message
66,I am not entertained,i am bored
67,This is Adam,"greet and hello hi kind of things, general check in"
68,play hurt by johnny cash next,play on youtube
69,Enough talking,goodbye
70,My user is Adam,"greet and hello hi kind of things, general check in"
71,please explain space,tell me about
72,send email to,send email
73,Adios,goodbye
74,tell me about president,tell me about
75,Can you tell me the time?,asking time
76,what is the weather today,asking weather
77,play pacman game with me,play games
78,will the fast food shop at the corner open today,places near me
79,tell me a joke about birds,tell me joke
80,Quiet,goodbye
81,what is the weather in utah,asking weather
82,open website github.com,open website
83,"Thanks for the help, goodbye",goodbye
84,Tell me a joke,tell me joke
85,give me election updates,tell me news
86,can you turn that down,volume control
87,Quiet,goodbye
88,open website linkedin.com,open website
89,pause the music,volume control
90,Do you know what time it is?,asking time
91,What is the,tell me about
92,mute for twenty minutes,volume control
93,send email to dipesh,send email
94,send email to <name> about <name>,send email
95,what is the current date today,asking time
96,what are the top stories on cnn,tell me news
97,what time is it today,asking time
98,i am bored today what can i do,i am bored
99,want to play a game of trivia,play games
100,what time is it day before tomorrow,asking time
101,Can you recommend some places nearby?,places near me
102,reply an email to jason that i will not come tonight,send email
103,get latest news report on kidnapping in ny,tell me news
104,let us play millionaires,play games
105,download youtube video of <name> today,download youtube video
106,what time is it in new york city,asking time
107,whats up,"greet and hello hi kind of things, general check in"
108,Do you know what time it is?,asking time
109,take screenshot of google,take screenshot
110,start game temple runner,play games
111,keep me updated on the election results,tell me news
112,This is Adam,"greet and hello hi kind of things, general check in"
113,Tell me a joke,tell me joke
114,ask a restaurant in me area,places near me
115,check all new emails in my inbox,send email
116,Can you tell me the time?,asking time
117,daily cases of india,covid cases
118,open inbox,send email
119,download youtube video of minecraft,download youtube video
120,Do you know the time?,asking time
121,please explain me about your words once again.,tell me about
122,reach by mail to my family,send email
123,tell me a dad joke,tell me joke
124,hi how are you,"greet and hello hi kind of things, general check in"
125,once again explain your answer.,tell me about
126,download youtube video of,download youtube video
127,what will be the time now in washington,asking time
128,What are the things you can do?,what can you do
129,turn the volume down a little please,volume control
130,what day of the week is the first of march,asking time
131,play minecraft with me,play games
132,covid cases of,covid cases
133,open website stackoverflow.com,open website
134,hey email jan about our meeting,send email
135,please reduce the speaker volume,volume control
136,Please be quiet,goodbye
137,Quiet,goodbye
138,what is the name of this song playing right now,play on youtube
139,I have nothing to do,i am bored
140,Hello hope you are doing well?,"greet and hello hi kind of things, general check in"
141,answer the email,send email
142,good afternoon,goodbye
143,play gta vice city game,play games
144,what is the weather tomorrow,asking weather
145,open website stackoverflow.com,open website
146,send this message to the family group starts with a,send email
147,play bad guy on youtube,play on youtube
148,play my most played songs,play on youtube
149,"Thank you, goodbye",goodbye
150,tell me news day after tomorrow,tell me news
151,cut off noise,volume control
152,i would like to know the latest from nbc news,tell me news
153,mute the settings,volume control
154,send whatsapp message,send whatsapp message
155,play pacman game with me,play games
156,What can you assist me with?,what can you do
157,download youtube video of,download youtube video
158,Bye,goodbye
159,Can you mute the volume?,volume control
160,play green day,play on youtube
